userId,itemId,rating
50,296,3.0
50,318,4.0
50,480,3.0
50,527,4.0
50,780,2.5
50,858,4.5
50,1213,4.0
50,2959,3.5
151,3,3.0
151,11,3.0
151,19,2.0
151,21,4.0
151,58,4.0
151,110,4.0
151,172,3.0
151,225,2.5
151,260,3.5
151,265,3.0
151,318,5.0
151,339,1.5
151,342,4.0
151,435,1.0
151,442,4.0
151,494,1.0
151,497,3.0
151,509,3.5
151,527,4.5
151,586,3.0
151,593,4.5
151,594,2.5
151,653,2.5
151,750,5.0
151,802,2.5
151,805,3.5
151,912,3.5
151,920,3.5
151,1127,4.5
151,1213,4.0
151,1250,3.0
151,1259,3.5
151,1266,3.5
151,1370,3.0
151,1376,3.0
151,1394,5.0
151,1408,3.5
151,1610,3.0
151,1641,3.5
151,1682,3.0
151,1917,2.0
151,1961,4.5
151,2001,2.0
151,2019,3.5
151,2115,2.5
151,2268,3.0
151,2302,4.0
151,2355,3.5
151,2470,1.0
151,2617,2.0
151,2692,4.0
151,2762,2.5
151,2959,4.5
151,3033,3.5
151,3101,2.0
151,3418,3.5
151,3578,2.0
151,6934,2.5
162,2,4.0
162,21,5.0
162,95,4.0
162,153,3.0
162,161,3.0
162,165,4.0
162,172,3.0
162,173,3.0
162,235,5.0
162,288,5.0
162,292,4.0
162,296,5.0
162,316,4.0
162,318,5.0
162,329,4.0
162,344,3.0
162,349,3.0
162,380,3.0
162,434,3.0
162,494,3.0
162,588,1.0
162,592,3.0
162,593,5.0
162,595,1.0
260,260,5.0
260,296,5.0
260,318,4.0
260,4886,5.0
260,4993,5.0
260,68954,5.0
420,231,5.0
420,1580,4.0
420,6373,5.0
420,8874,5.0
420,68954,4.0
421,2,5.0
421,11,4.0
421,110,1.0
421,141,4.0
421,158,4.0
421,160,2.0
421,173,3.0
421,260,5.0
421,316,5.0
421,339,4.0
421,349,5.0
421,377,5.0
421,380,5.0
421,440,4.0
421,457,5.0
421,480,5.0
421,497,4.0
421,588,4.0
421,597,5.0
421,648,4.0
421,653,3.0
421,1265,2.0
421,1544,2.0
421,1552,5.0
421,1580,2.0
421,1608,5.0
421,1610,4.0
421,1641,3.0
421,1676,1.0
421,1721,4.0
421,1923,5.0
421,2006,3.0
421,2302,4.0
733,2,2.5
733,6,4.5
733,16,4.0
733,19,1.5
733,21,4.0
733,25,3.5
733,70,4.5
733,95,3.5
733,104,4.0
733,110,4.5
733,112,3.5
733,145,4.5
733,150,3.0
733,153,3.0
733,161,3.5
733,163,4.0
733,165,4.5
733,173,3.5
733,185,4.0
733,231,3.5
733,253,3.0
733,260,3.0
733,288,3.5
733,292,2.5
733,293,4.0
733,296,4.5
733,316,2.5
733,329,1.0
733,344,2.0
733,350,3.0
733,364,2.0
733,377,3.5
733,380,4.0
733,410,2.5
733,434,4.0
733,442,4.0
733,454,4.0
733,457,4.0
733,480,3.5
733,500,3.0
733,527,3.0
733,587,3.0
733,588,2.5
733,592,2.5
733,593,4.0
733,595,2.5
733,597,2.5
733,628,4.5
733,648,4.0
733,653,4.0
733,778,4.0
733,780,3.5
733,784,2.5
733,786,3.5
733,788,3.0
733,802,4.5
733,805,3.5
733,858,4.0
733,1089,3.5
733,1092,3.5
733,1213,4.0
733,1370,4.0
733,1391,2.5
733,1393,3.5
733,1407,3.5
733,1573,4.5
733,1580,4.0
733,1584,3.0
733,1608,3.5
733,1610,3.0
733,1653,3.5
733,1682,3.5
733,1729,4.0
733,1917,4.0
733,1954,2.5
733,1961,3.5
733,2000,4.0
733,2001,4.0
733,2011,4.0
733,2012,4.0
733,2023,3.5
733,2028,4.0
733,2054,3.0
733,2115,4.0
733,2355,2.5
733,2617,4.0
733,2640,2.0
733,2701,3.5
733,2762,3.0
733,2959,5.0
733,3052,4.0
733,3578,4.0
733,4011,5.0
733,4993,4.0
733,4995,4.0
733,6016,3.5
733,6934,4.0
733,8665,4.0
733,8961,3.5
733,45722,4.5
733,58559,4.5
841,910,4.0
841,2699,4.5
942,318,5.0
942,2028,4.0
942,2959,4.0
942,5618,4.0
942,8665,4.0
942,8961,3.5
942,48780,4.5
942,58559,4.0
942,68954,4.0
942,74458,4.0
1243,2,4.0
1243,5,3.0
1243,11,5.0
1243,17,5.0
1243,110,4.5
1243,145,5.0
1243,150,3.0
1243,165,5.0
1243,168,3.0
1243,186,5.0
1243,225,4.5
1243,231,3.0
1243,235,1.0
1243,253,4.0
1243,260,2.0
1243,296,1.5
1243,339,5.0
1243,344,4.0
1243,364,5.0
1243,377,5.0
1243,380,5.0
1243,454,3.0
1243,457,5.0
1243,466,3.5
1243,497,3.5
1243,500,4.0
1243,508,4.0
1243,527,4.0
1243,586,5.0
1243,587,5.0
1243,590,3.0
1243,595,5.0
1243,597,5.0
1243,648,5.0
1243,653,4.0
1243,780,4.5
1243,788,2.5
1243,832,5.0
1243,858,4.0
1243,910,5.0
1243,912,4.0
1243,920,3.0
1243,953,4.0
1243,1088,5.0
1243,1090,4.0
1243,1092,5.0
1243,1370,5.0
1243,1380,4.0
1243,1387,4.0
1243,1393,3.0
1243,1485,5.0
1243,1552,5.0
1243,1573,5.0
1243,1580,4.0
1243,1584,2.0
1243,1608,4.5
1243,1641,3.0
1243,1645,5.0
1243,1676,2.0
1243,1682,5.0
1243,1721,3.5
1243,1732,3.0
1243,1777,3.0
1243,1909,3.0
1243,1917,4.0
1243,1923,5.0
1243,1954,4.0
1243,1961,5.0
1243,2000,5.0
1243,2001,5.0
1243,2003,4.0
1243,2006,4.0
1243,2011,3.0
1243,2012,3.0
1243,2028,4.0
1243,2054,3.0
1243,2100,4.5
1243,2115,5.0
1243,2268,3.0
1243,2291,4.0
1243,2324,5.0
1243,2470,5.0
1243,2617,5.0
1243,2671,5.0
1243,2701,5.0
1243,2762,5.0
1243,2791,5.0
1243,2959,3.0
1243,3101,5.0
1243,3160,2.0
1243,3176,3.0
1243,3578,4.0
1243,4025,5.0
1243,4886,4.0
1243,4896,2.5
1243,4993,3.0
1243,4995,4.0
1243,5816,3.0
1243,5995,5.0
