itemId,rating,userId
34599,10,2
4181,10,5
2904,10,6
16664,6,7
30276,8,17
4181,10,20
4181,5,21
4181,10,85
5680,8,105
552,8,115
5680,10,121
5680,9,122
5680,9,125
5680,1,126
5680,7,127
5680,10,130
5680,8,132
5680,10,135
5680,8,136
5680,8,140
5680,7,145
5680,7,160
5680,7,165
5680,9,166
5680,9,167
5680,5,180
5680,9,186
5680,10,190
5680,6,191
5680,8,192
5680,5,195
5680,8,200
5680,8,217
5680,8,220
5680,6,225
5680,10,226
5680,8,231
5680,10,232
5680,10,246
5680,6,251
5680,5,252
5680,8,260
5680,10,262
5680,9,266
552,6,32
552,5,272
552,9,275
5680,8,280
5680,8,281
5680,9,17
5680,9,286
5680,10,287
5680,2,292
5680,9,295
552,5,301
552,8,111
552,8,11
38145,7,316
38145,9,320
38145,8,326
5680,10,355
5680,4,356
5680,7,357
5680,7,362
5680,7,367
552,9,427
552,8,437
552,9,441
38145,7,442
38145,8,450
38145,10,451
38145,8,452
38145,8,456
38145,8,382
5680,8,110
5680,2,481
5680,9,377
5680,7,485
5680,6,492
5680,5,11
5680,8,510
5680,3,520
5680,9,522
5680,8,525
322,7,537
322,9,540
97,6,545
322,9,565
322,8,567
322,8,572
97,5,575
97,10,576
97,5,581
97,8,582
97,6,585
97,8,586
97,9,591
97,8,592
322,7,617
322,10,620
322,10,640
97,6,641
97,10,642
97,9,597
97,8,645
97,7,647
97,7,650
97,8,651
97,8,652
322,10,670
322,10,672
322,7,675
322,8,676
322,7,680
322,8,682
322,9,525
1571,8,716
269,5,727
1571,9,730
269,3,731
269,7,732
1571,8,737
1571,9,746
1571,8,752
202,10,762
202,7,766
202,9,771
269,3,772
269,5,780
1571,8,790
202,9,805
202,8,806
202,8,807
202,9,810
202,10,815
269,3,821
269,3,822
269,5,825
269,1,826
269,3,661
1571,4,851
202,7,856
202,9,572
202,9,731
202,8,866
269,5,246
269,3,382
1571,8,887
1571,7,891
1571,6,856
1571,8,11
1571,9,895
1571,10,897
202,9,110
202,10,11
202,3,915
202,6,585
202,8,652
202,6,597
202,8,921
32998,8,110
32998,8,927
32998,8,930
32998,8,931
32998,7,935
32998,7,936
32998,5,937
269,4,941
269,5,937
269,3,951
269,8,957
269,8,421
30123,5,375
30123,7,960
30123,10,961
30123,7,281
30123,6,930
30123,4,965
30123,8,966
30123,5,967
30123,9,111
30123,10,971
30123,10,975
30123,8,977
30123,8,982
30123,5,986
30123,8,762
30123,5,160
30123,9,991
30123,9,992
30123,8,995
30123,7,1000
30123,7,1005
30123,5,1012
30123,10,1015
30123,8,1020
30123,9,1021
30123,6,1022
30123,8,286
30123,10,1037
30123,10,1040
30123,9,1041
30123,9,1042
30123,4,1051
1571,9,1055
1571,10,1060
1571,7,1066
1571,6,1067
4181,10,1085
4181,10,1095
30276,8,1105
30276,8,1022
30276,8,1012
30276,8,1107
30276,6,1111
30276,10,1112
35860,8,531
28999,10,1130
28999,10,1132
28999,7,1137
28999,8,286
28999,8,1141
28999,7,982
28999,7,1142
28999,9,1021
28999,7,51
28999,10,1171
28999,9,1175
28999,10,232
28999,7,1190
28999,10,1197
28999,6,160
28999,6,1200
28999,8,1202
28999,8,1206
28999,9,1212
28999,9,992
28999,9,1215
28999,7,1216
28999,8,1220
28999,10,1221
28999,8,1226
28999,9,551
28999,10,1227
28999,8,1232
28999,4,1235
28999,6,1236
28999,6,1247
28999,8,1251
28999,9,1252
28999,6,1256
28999,6,1260
28999,7,1261
28999,9,1266
28999,9,1272
28999,8,1276
28999,8,1285
28999,6,1290
28999,8,1292
28999,7,1297
28999,6,1320
28999,8,1321
28999,9,1325
28999,5,1332
28999,7,1335
28999,8,1336
28999,10,1337
28999,4,960
28999,7,1346
28999,9,995
28999,7,17
28999,3,1362
28999,9,1365
28999,9,1372
20057,10,762
20057,7,1386
35860,5,1401
35860,7,1130
28999,7,1402
28999,8,1407
28999,8,110
28999,6,1412
20057,8,1416
20057,5,1420
20057,10,1425
20057,6,32
20057,8,1431
3092,7,47
35860,8,1440
35860,7,1445
35860,7,1446
28999,7,56
28999,9,1457
28999,9,1460
28999,4,1462
28999,7,105
20057,7,1481
20057,7,1485
20057,8,1487
35860,10,1521
28999,1,1525
28999,8,1526
28999,4,1531
28999,8,1535
28999,3,1536
28999,3,1540
20057,8,56
20057,9,1551
20057,8,1555
20057,5,1556
20057,6,1557
20057,8,1561
3092,6,1580
3092,5,790
35860,9,1591
35860,7,442
35860,6,1600
28999,1,1612
28999,6,450
28999,1,1615
28999,3,281
28999,10,1616
28999,3,1620
28999,3,1621
28999,3,1622
3092,2,1640
3092,3,110
3092,8,1645
3092,8,1646
3092,3,1651
3092,9,1655
3092,4,522
3092,9,1656
35860,9,456
35860,4,1660
35860,9,1661
35860,8,452
39597,7,51
11887,8,856
11887,7,1716
11887,9,1720
11887,8,485
11887,8,132
11887,10,1726
11887,6,1235
11887,8,1727
11887,9,1730
11887,10,1731
11887,9,1732
11887,10,991
11887,9,1171
11887,7,1005
11887,8,1752
11887,8,1760
11887,10,1202
11887,7,51
11887,7,301
11887,9,1767
11887,9,1772
11887,8,1775
11887,7,1780
11887,8,1781
11887,9,1782
11887,9,1785
11887,8,982
11887,8,1786
11887,9,1790
11887,9,1792
11887,10,1796
11887,6,1797
11887,9,105
11887,6,737
11887,7,1810
11887,7,1812
11887,6,1820
11887,9,1825
11887,9,1831
267,7,1841
267,8,1847
267,9,1850
267,8,1851
267,9,1852
39597,2,1620
39597,4,1865
11887,7,1882
267,8,1905
267,7,1906
267,5,1910
267,10,1915
267,7,1917
39597,4,1942
39597,9,1945
11887,9,1445
11887,3,1971
11887,10,1976
267,3,1985
267,10,1987
267,10,1990
267,6,597
11887,9,2016
11887,7,2025
11887,10,2027
5630,9,592
5630,8,11
5630,8,2050
5630,9,2052
5630,6,575
5630,7,2037
5630,7,2065
5630,10,2070
5630,10,2077
5630,9,2081
5630,9,2086
5630,6,856
5630,6,2096
5630,7,51
5630,8,2100
5630,3,2101
5630,8,2102
5630,10,2105
12413,7,752
12413,9,2125
5630,8,2131
5630,9,2135
5630,7,1917
12413,7,2142
12413,10,2145
12413,8,2151
12413,8,62
12413,9,2152
12413,6,287
12413,7,110
12413,7,2155
5630,7,2200
5630,8,2201
5630,9,597
5630,9,2202
5630,6,620
5630,9,421
5630,8,2206
12413,7,1077
12413,6,2210
12413,8,2211
12413,8,2212
12413,8,2217
12413,8,2220
4181,10,2182
4181,10,2245
4181,6,2246
35507,9,2255
35507,6,2256
12445,7,2260
12445,9,2265
12445,7,462
12445,10,2270
12445,6,2271
35507,9,2286
35507,8,2
35507,6,2292
35507,6,2302
35507,7,2307
35507,8,2070
35507,8,2310
35507,9,2315
35507,6,2316
12445,9,1171
12445,8,1976
12445,7,2330
12445,10,2331
35507,7,2336
35507,8,2337
35507,7,2345
35507,9,2346
12445,8,2352
12445,6,2356
35507,6,2361
35507,6,2367
35507,5,2372
35507,9,2375
12445,8,2382
12445,10,2386
12445,10,2387
12445,8,2016
12445,8,642
35507,8,2392
35507,7,551
35507,9,2397
12445,8,1232
12445,10,856
12445,9,670
12445,6,2410
12445,6,2411
12445,8,737
12445,8,1297
12445,10,2415
35507,8,2416
35507,6,2421
35507,8,2422
35507,10,2426
12445,8,2432
12445,8,2142
12445,9,2435
12445,9,2436
12445,6,1810
35507,7,2260
35507,9,2445
35507,5,960
35507,6,167
35507,7,32
35507,8,966
12445,8,2467
12445,5,930
12445,6,2470
12445,7,651
